x_mm,y_mm
-977.657,-4136.781
-981.922,-4126.440
-985.712,-4115.856
-989.502,-4105.272
-993.293,-4094.688
-997.083,-4084.104
-1000.873,-4073.520
-1004.663,-4062.936
-1008.453,-4052.352
-1012.243,-4041.768
-1016.033,-4031.184
-1019.823,-4020.600
-1023.613,-4010.016
-1028.494,-3999.508
-1033.375,-3989.000
-1038.255,-3978.491
-1043.136,-3967.983
-1048.017,-3957.475
-1052.897,-3946.967
-1057.778,-3936.459
-1062.659,-3925.951
-1067.539,-3915.443
-1072.420,-3904.935
-1078.476,-3895.166
-1084.531,-3885.398
-1090.587,-3875.629
-1096.643,-3865.861
-1102.699,-3856.092
-1108.755,-3846.324
-1114.810,-3836.555
-1120.866,-3826.787
-1126.922,-3817.018
-1133.226,-3807.972
-1139.529,-3798.926
-1145.832,-3789.880
-1152.136,-3780.833
-1158.439,-3771.787
-1164.743,-3762.741
-1171.866,-3753.386
-1178.989,-3744.031
-1186.111,-3734.676
-1193.234,-3725.321
-1200.357,-3715.966
-1207.480,-3706.611
-1215.078,-3697.347
-1222.675,-3688.084
-1230.273,-3678.820
-1237.871,-3669.557
-1245.468,-3660.294
-1253.066,-3651.030
-1260.664,-3641.767
-1268.262,-3632.503
-1275.859,-3623.240
-1283.457,-3613.977
-1290.126,-3604.429
-1296.796,-3594.882
-1303.466,-3585.335
-1310.135,-3575.788
-1316.805,-3566.241
-1323.474,-3556.693
-1330.144,-3547.146
-1336.813,-3537.599
-1343.483,-3528.052
-1350.153,-3518.505
-1356.822,-3508.957
-1363.492,-3499.410
-1370.161,-3489.863
-1376.831,-3480.316
-1383.500,-3470.768
-1390.170,-3461.221
-1396.840,-3451.674
-1403.509,-3442.127
-1410.179,-3432.580
-1416.848,-3423.032
-1423.518,-3413.485
-1430.187,-3403.938
-1436.857,-3394.391
-1443.527,-3384.844
-1450.196,-3375.296
-1458.976,-3368.551
-1467.756,-3361.805
-1476.246,-3360.116
-1484.737,-3358.428
-1493.227,-3356.739
-1502.094,-3360.050
-1510.961,-3363.361
-1519.829,-3366.672
-1529.200,-3373.769
-1538.572,-3380.865
-1547.944,-3387.962
-1557.316,-3395.058
-1566.688,-3402.155
-1576.059,-3409.251
-1585.431,-3416.348
-1594.803,-3423.444
-1604.175,-3430.541
-1613.365,-3432.874
-1622.556,-3435.207
-1631.747,-3437.540
-1640.585,-3435.822
-1649.423,-3434.103
-1658.261,-3432.384
-1665.520,-3428.619
-1672.779,-3424.854
-1680.038,-3421.089
-1687.367,-3412.761
-1694.696,-3404.432
-1702.025,-3396.104
-1709.354,-3387.775
-1715.525,-3380.231
-1721.697,-3372.687
-1727.869,-3365.143
-1734.040,-3357.598
-1740.212,-3350.054
-1746.437,-3340.113
-1752.663,-3330.171
-1758.888,-3320.230
-1765.114,-3310.288
-1771.340,-3300.347
-1777.565,-3290.405
-1781.822,-3279.970
-1786.079,-3269.536
-1790.335,-3259.101
-1794.592,-3248.666
-1798.849,-3238.231
-1803.105,-3227.796
-1805.836,-3217.257
-1808.566,-3206.718
-1811.296,-3196.179
-1814.026,-3185.639
-1816.757,-3175.100
-1819.487,-3164.561
-1821.552,-3152.750
-1823.617,-3140.939
-1825.682,-3129.129
-1827.748,-3117.318
-1829.813,-3105.507
-1831.878,-3093.697
-1831.761,-3084.307
-1831.644,-3074.918
-1831.527,-3065.528
-1828.977,-3056.351
-1826.428,-3047.173
-1823.878,-3037.995
-1818.010,-3029.581
-1812.142,-3021.167
-1806.274,-3012.753
-1799.252,-3003.489
-1792.231,-2994.226
-1785.209,-2984.963
-1778.187,-2975.700
-1771.166,-2966.436
-1764.144,-2957.173
-1756.140,-2948.423
-1748.135,-2939.673
-1740.131,-2930.923
-1732.127,-2922.174
-1724.123,-2913.424
-1716.119,-2904.674
-1708.114,-2895.924
-1700.110,-2887.174
-1692.106,-2878.424
-1684.102,-2869.674
-1676.097,-2860.924
-1668.093,-2852.175
-1660.089,-2843.425
-1652.085,-2834.675
-1644.081,-2825.925
-1636.076,-2817.175
-1628.072,-2808.425
-1620.068,-2799.675
-1612.064,-2790.925
-1604.060,-2782.176
-1596.055,-2773.426
-1588.051,-2764.676
-1580.047,-2755.926
-1572.043,-2747.176
-1564.038,-2738.426
-1556.034,-2729.676
-1548.030,-2720.926
-1540.026,-2712.177
-1532.022,-2703.427
-1524.017,-2694.677
-1516.013,-2685.927
-1508.009,-2677.177
-1500.005,-2668.427
-1492.001,-2659.677
-1483.996,-2650.928
-1475.992,-2642.178
-1467.988,-2633.428
-1459.984,-2624.678
-1451.979,-2615.928
-1443.975,-2607.178
-1435.971,-2598.428
-1427.967,-2589.678
-1419.963,-2580.929
-1411.958,-2572.179
-1403.954,-2563.429
-1395.950,-2554.679
-1387.946,-2545.929
-1379.941,-2537.179
-1371.937,-2528.429
-1363.933,-2519.679
-1355.929,-2510.930
-1347.925,-2502.180
-1339.920,-2493.430
-1331.916,-2484.680
-1323.912,-2475.930
-1315.908,-2467.180
-1307.904,-2458.430
-1299.899,-2449.680
-1291.895,-2440.931
-1283.891,-2432.181
-1275.887,-2423.431
-1267.882,-2414.681
-1259.878,-2405.931
-1251.874,-2397.181
-1243.870,-2388.431
-1235.866,-2379.682
-1227.861,-2370.932
-1219.857,-2362.182
-1211.853,-2353.432
-1203.849,-2344.682
-1195.844,-2335.932
-1187.840,-2327.182
-1179.836,-2318.432
-1171.832,-2309.683
-1163.828,-2300.933
-1155.823,-2292.183
-1147.819,-2283.433
-1139.815,-2274.683
-1131.811,-2265.933
-1123.932,-2257.441
-1116.054,-2248.948
-1108.175,-2240.456
-1100.296,-2231.964
-1092.418,-2223.471
-1084.539,-2214.979
-1076.660,-2206.486
-1068.782,-2197.994
